rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
1,hostile_prior_work,Transfer from Simulation to Real World through Learning Deep Inverse Dynamics Model,2016,Paul F. Christiano; Zain Shah; Igor Mordatch; Jonas Schneider; Trevor Blackwell; Joshua Tobin; Pieter Abbeel; Wojciech Zaremba,arXiv (Cornell University),10.48550/arxiv.1610.03518,http://arxiv.org/abs/1610.03518,167,sim to real robot dynamics adaptation,Computer science; SAFER; Reinforcement learning; Control (management); Action (physics); Artificial intelligence; Robot; Simulation; Machine learning; Reinforcement Learning in Robotics; Gaussian Processes and Bayesian Inference; Robot Manipulation and Learning,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,contact/tactile dynamics modeling; simulation-to-real transfer or domain randomization; reinforcement-learning objective around a learned model,model errors remain tolerable over the planner horizon; epistemic uncertainty is calibrated enough to guide action; reward feedback is the main signal for correcting model use,observability of repair-relevant state,localized contact/friction failures under action; planner exploitation of small model errors,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",19.835,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Developing control policies in simulation is often more practical and safer than directly running experiments in the real world. This applies to policies obtained from planning and optimization, and even more so to policies obtained from reinforcement learning, which is often very data demanding. However, a policy that succeeds in simulation often doesn't work when deployed on a real robot. Nevertheless, often the overall gist of what the policy does in simulation remains valid in the real world. In this paper we investigate such settings, where the sequence of states traversed in simulation remains reasonable for the real world, even if the details of the controls are not, as could be the case when the key differences lie in detailed friction, contact, mass and geometry properties. During execution, at each time step our approach computes what the simulation-based control policy would do, but then, rather than executing these controls on the real robot, our approach computes what the simulation expects the resulting next state(s) will be, and then relies on a learned deep inverse dynamics model to decide which real-world action is most suitable to achieve those next states. Deep models are only as good as their training data, and we also propose an approach for data collection to (incrementally) learn the deep inverse dynamics model. Our experiments shows our approach compares favorably with various baselines that have been developed for dealing with simulation to real world model discrepancy, including output error control and Gaussian dynamics adaptation."
2,hostile_prior_work,DeepMPC: Learning Deep Latent Features for Model Predictive Control,2015,Ian Lenz; Ross A. Knepper; Ashutosh Saxena,,10.15607/rss.2015.xi.012,https://doi.org/10.15607/rss.2015.xi.012,344,deformable object dynamics robot learning,Computer science; Artificial intelligence; Deep learning; Machine learning; Control (management); Advanced Control Systems Optimization; Robot Manipulation and Learning; Reinforcement Learning in Robotics,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,planning by rolling out a learned or hybrid dynamics model; reinforcement-learning objective around a learned model,the learned latent variables preserve the repair-relevant causal factors; reward feedback is the main signal for correcting model use; scale transfers to local physical counterfactual repair,contact/friction regime,unobserved variables changing repair validity,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",18.72,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Designing controllers for tasks with complex nonlinear dynamics is extremely challenging, time-consuming, and in many cases, infeasible. This difficulty is exacerbated in tasks such as robotic food-cutting, in which dynamics might vary both with environmental properties, such as material and tool class, and with time while acting. In this work, we present DeepMPC, an online real-time model-predictive control approach designed to handle such difficult tasks. Rather than hand-design a dynamics model for the task, our approach uses a novel deep architecture and learning algorithm, learning controllers for complex tasks directly from data. We validate our method in experiments on a large-scale dataset of 1488 material cuts for 20 diverse classes, and in 450 real-world robotic experiments, demonstrating significant improvement over several other approaches."
3,hostile_prior_work,Self-Supervised Sim-to-Real Adaptation for Visual Robotic Manipulation,2020,Rae Jeong; Yusuf Aytar; David Khosid; Yuxiang Zhou; Jackie Kay; Thomas Lampe; Konstantinos Bousmalis; Francesco Nori,,10.1109/icra40945.2020.9197326,https://doi.org/10.1109/icra40945.2020.9197326,56,latent dynamics robot manipulation robotics,Reinforcement learning; Computer science; Artificial intelligence; Robot; Representation (politics); Machine learning; Task (project management); Transfer of learning; Robot Manipulation and Learning; Domain Adaptation and Few-Shot Learning; Reinforcement Learning in Robotics,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,simulation-to-real transfer or domain randomization; reinforcement-learning objective around a learned model,model errors remain tolerable over the planner horizon; the learned latent variables preserve the repair-relevant causal factors; training variation covers deployment mismatches,contact/friction regime,unobserved variables changing repair validity; planner exploitation of small model errors; out-of-distribution deployment mismatch,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",18.28,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Collecting and automatically obtaining reward signals from real robotic visual data for the purposes of training reinforcement learning algorithms can be quite challenging and time-consuming. Methods for utilizing unlabeled data can have a huge potential to further accelerate robotic learning. We consider here the problem of performing manipulation tasks from pixels. In such tasks, choosing an appropriate state representation is crucial for planning and control. This is even more relevant with real images where noise, occlusions and resolution affect the accuracy and reliability of state estimation. In this work, we learn a latent state representation implicitly with deep reinforcement learning in simulation, and then adapt it to the real domain using unlabeled real robot data. We propose to do so by optimizing sequence-based self- supervised objectives. These use the temporal nature of robot experience, and can be common in both the simulated and real domains, without assuming any alignment of underlying states in simulated and unlabeled real images. We further propose a novel such objective, the Contrastive Forward Dynamics loss, which combines dynamics model learning with time-contrastive techniques. The learned state representation that results from our methods can be used to robustly solve a manipulation task in simulation and to successfully transfer the learned skill on a real system. We demonstrate the effectiveness of our approaches by training a vision-based reinforcement learning agent for cube stacking. Agents trained with our method, using only 5 hours of unlabeled real robot data for adaptation, shows a clear improvement over domain randomization, and standard visual domain adaptation techniques for sim-to-real transfer."
4,hostile_prior_work,Preparing for the Unknown: Learning a Universal Policy with Online System Identification,2017,Wenhao Yu; Jie Tan; C. Karen Liu; Greg Turk,,10.15607/rss.2017.xiii.048,https://doi.org/10.15607/rss.2017.xiii.048,220,sim to real robot dynamics adaptation,Identification (biology); Computer science; Online learning; Artificial intelligence; Hydraulic and Pneumatic Systems; Reinforcement Learning in Robotics; Robot Manipulation and Learning,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,online or offline identification of dynamics parameters; reinforcement-learning objective around a learned model,the right repair is expressible as global parameter adaptation; reward feedback is the main signal for correcting model use; scale transfers to local physical counterfactual repair,observability of repair-relevant state,localized contact/friction failures under action,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",18.1,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","We present a new method of learning control policies that successfully operate under unknown dynamic models. We create such policies by leveraging a large number of training examples that are generated using a physical simulator. Our system is made of two components: a Universal Policy (UP) and a function for Online System Identification (OSI). We describe our control policy as universal because it is trained over a wide array of dynamic models. These variations in the dynamic model may include differences in mass and inertia of the robots components, variable friction coefficients, or unknown mass of an object to be manipulated. By training the Universal Policy with this variation, the control policy is prepared for a wider array of possible conditions when executed in an unknown environment. The second part of our system uses the recent state and action history of the system to predict the dynamics model parameters . The value of from the Online System Identification is then provided as input to the control policy (along with the system state). Together, UP-OSI is a robust control policy that can be used across a wide range of dynamic models, and that is also responsive to sudden changes in the environment. We have evaluated the performance of this system on a variety of tasks, including the problem of cart-pole swing-up, the double inverted pendulum, locomotion of a hopper, and block-throwing of a manipulator. UP-OSI is effective at these tasks across a wide range of dynamic models. Moreover, when tested with dynamic models outside of the training range, UP-OSI outperforms the Universal Policy alone, even when UP is given the actual value of the model dynamics. In addition to the benefits of creating more robust controllers, UP-OSI also holds out promise of narrowing the Reality Gap between simulated and real physical systems."
5,hostile_prior_work,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,Wenlong Huang; Chen Wang; Ruohan Zhang; Yunzhu Li; Jiajun Wu; Li Fei-Fei,arXiv (Cornell University),10.48550/arxiv.2307.05973,http://arxiv.org/abs/2307.05973,87,latent dynamics robot manipulation robotics,Computer science; Robot; Affordance; Bottleneck; Human–computer interaction; Variety (cybernetics); Natural language; Artificial intelligence; Set (abstract data type); Code (set theory); Robustness (evolution); Programming language,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,large generative/foundation model conditioning; contact/tactile dynamics modeling,model errors remain tolerable over the planner horizon; scale transfers to local physical counterfactual repair,contact/friction regime; observability of repair-relevant state,localized contact/friction failures under action; planner exploitation of small model errors; semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",17.435,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Large language models (LLMs) are shown to possess a wealth of actionable knowledge that can be extracted for robot manipulation in the form of reasoning and planning. Despite the progress, most still rely on pre-defined motion primitives to carry out the physical interactions with the environment, which remains a major bottleneck. In this work, we aim to synthesize robot trajectories, i.e., a dense sequence of 6-DoF end-effector waypoints, for a large variety of manipulation tasks given an open-set of instructions and an open-set of objects. We achieve this by first observing that LLMs excel at inferring affordances and constraints given a free-form language instruction. More importantly, by leveraging their code-writing capabilities, they can interact with a vision-language model (VLM) to compose 3D value maps to ground the knowledge into the observation space of the agent. The composed value maps are then used in a model-based planning framework to zero-shot synthesize closed-loop robot trajectories with robustness to dynamic perturbations. We further demonstrate how the proposed framework can benefit from online experiences by efficiently learning a dynamics model for scenes that involve contact-rich interactions. We present a large-scale study of the proposed method in both simulated and real-robot environments, showcasing the ability to perform a large variety of everyday manipulation tasks specified in free-form natural language. Videos and code at https://voxposer.github.io"
6,hostile_prior_work,Visual Foresight: Model-Based Deep Reinforcement Learning for Vision-Based Robotic Control,2018,Frederik Ebert; Chelsea Finn; Sudeep Dasari; Annie Xie; Alex X. Lee; Sergey Levine,arXiv (Cornell University),10.48550/arxiv.1812.00568,http://arxiv.org/abs/1812.00568,264,visual foresight robot manipulation,Artificial intelligence; Reinforcement learning; Computer science; Generalization; Robotics; Pixel; Robot; Object (grammar); Computer vision; Deep learning; Machine learning; Reinforcement Learning in Robotics,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,action-conditioned visual prediction / visual foresight; planning by rolling out a learned or hybrid dynamics model; reinforcement-learning objective around a learned model,model errors remain tolerable over the planner horizon; reward feedback is the main signal for correcting model use,contact/friction regime; observability of repair-relevant state,localized contact/friction failures under action; semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,Whether visually plausible prediction errors are the right unit of correction for embodied decisions.,17.32,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Deep reinforcement learning (RL) algorithms can learn complex robotic skills from raw sensory inputs, but have yet to achieve the kind of broad generalization and applicability demonstrated by deep learning methods in supervised domains. We present a deep RL method that is practical for real-world robotics tasks, such as robotic manipulation, and generalizes effectively to never-before-seen tasks and objects. In these settings, ground truth reward signals are typically unavailable, and we therefore propose a self-supervised model-based approach, where a predictive model learns to directly predict the future from raw sensory readings, such as camera images. At test time, we explore three distinct goal specification methods: designated pixels, where a user specifies desired object manipulation tasks by selecting particular pixels in an image and corresponding goal positions, goal images, where the desired goal state is specified with an image, and image classifiers, which define spaces of goal states. Our deep predictive models are trained using data collected autonomously and continuously by a robot interacting with hundreds of objects, without human supervision. We demonstrate that visual MPC can generalize to never-before-seen objects---both rigid and deformable---and solve a range of user-defined object manipulation tasks using the same model."
7,hostile_prior_work,Belief space planning assuming maximum likelihood observations,2010,Robert W. Platt; Russ Tedrake; Leslie Pack Kaelbling; Tomás Lozano‐Pérez,,10.15607/rss.2010.vi.037,https://doi.org/10.15607/rss.2010.vi.037,308,embodied world model robot manipulation,Maximum likelihood; Computer science; Space (punctuation); Mathematical optimization; Statistics; Mathematics; Reinforcement Learning in Robotics; Game Theory and Applications; Adaptive Dynamic Programming Control,Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,reinforcement-learning objective around a learned model,model errors remain tolerable over the planner horizon; reward feedback is the main signal for correcting model use,contact/friction regime,planner exploitation of small model errors,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",17.04,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","We cast the partially observable control problem as a fully observable underactuated stochastic control problem in belief space and apply standard planning and control techniques. One of the difficulties of belief space planning is modeling the stochastic dynamics resulting from unknown future observations. The core of our proposal is to define deterministic beliefsystem dynamics based on an assumption that the maximum likelihood observation (calculated just prior to the observation) is always obtained. The stochastic effects of future observations are modeled as Gaussian noise. Given this model of the dynamics, two planning and control methods are applied. In the first, linear quadratic regulation (LQR) is applied to generate policies in the belief space. This approach is shown to be optimal for linear-Gaussian systems. In the second, a planner is used to find locally optimal plans in the belief space. We propose a replanning approach that is shown to converge to the belief space goal in a finite number of replanning steps. These approaches are characterized in the context of a simple nonlinear manipulation problem where a planar robot simultaneously locates and grasps an object."
8,hostile_prior_work,OpenSim: Simulating musculoskeletal dynamics and neuromuscular control to study human and animal movement,2018,Ajay Seth; Jennifer L. Hicks; Thomas K. Uchida; Ayman Habib; Christopher L. Dembia; James J. Dunne; Carmichael Ong; Matthew S. DeMers,PLoS Computational Biology,10.1371/journal.pcbi.1006223,https://doi.org/10.1371/journal.pcbi.1006223,1329,learned dynamics model robot control,"Movement (music); Movement control; Dynamics (music); Computer science; Physical medicine and rehabilitation; Muscle activation and electromyography studies; Motor Control and Adaptation; Balance, Gait, and Falls Prevention",Model action-conditioned physical change for manipulation/contact robustly enough to support robot decisions.,"task-specific learned dynamics, representation, or planning model",scale transfers to local physical counterfactual repair,contact/friction regime; observability of repair-relevant state,semantic priors overriding physical evidence,Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",17.0,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Movement is fundamental to human and animal life, emerging through interaction of complex neural, muscular, and skeletal systems. Study of movement draws from and contributes to diverse fields, including biology, neuroscience, mechanics, and robotics. OpenSim unites methods from these fields to create fast and accurate simulations of movement, enabling two fundamental tasks. First, the software can calculate variables that are difficult to measure experimentally, such as the forces generated by muscles and the stretch and recoil of tendons during movement. Second, OpenSim can predict novel movements from models of motor control, such as kinematic adaptations of human gait during loaded or inclined walking. Changes in musculoskeletal dynamics following surgery or due to humandevice interaction can also be simulated; these simulations have played a vital role in several applications, including the design of implantable mechanical devices to improve human grasping in individuals with paralysis. OpenSim is an extensible and user-friendly software package built on decades of knowledge about computational modeling and simulation of biomechanical systems. OpenSim's design enables computational scientists to create new state-of-the-art software tools and empowers others to use these tools in research and clinical applications. OpenSim supports a large and growing community of biomechanics and rehabilitation researchers, facilitating exchange of models and simulations for reproducing and extending discoveries. Examples, tutorials, documentation, and an active user forum support this community. The OpenSim software is covered by the Apache License 2.0, which permits its use for any purpose including both nonprofit and commercial applications. The source code is freely and anonymously accessible on GitHub, where the community is welcomed to make contributions. Platform-specific installers of OpenSim include a GUI and are available on simtk.org."
9,hostile_prior_work,"Developmental robotics, optimal artificial curiosity, creativity, music, and the fine arts",2006,Jürgen Schmidhuber,Connection Science,10.1080/09540090600768658,https://doi.org/10.1080/09540090600768658,274,embodied world model robot manipulation robotics,Computer science; Artificial intelligence; Curiosity; Observer (physics); The arts; Creativity; Robotics; Reinforcement learning; Cognitive science; Context (archaeology); Predictability; Action (physics),Use a learned or hybrid world/action model to improve planning or control.,reinforcement-learning objective around a learned model,reward feedback is the main signal for correcting model use,observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",16.37,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Even in the absence of external reward, babies and scientists and others explore their world.Using some sort of adaptive predictive world model, they improve their ability to answer questions such as what happens if I do this or that?They lose interest in both the predictable things and those predicted to remain unpredictable despite some effort.One can design curious robots that do the same.The author's basic idea (1990, 1991) for doing so is a reinforcement learning (RL) controller is rewarded for action sequences that improve the predictor.Here, this idea is revisited in the context of recent results on optimal predictors and optimal RL machines.Several new variants of the basic principle are proposed.Finally, it is pointed out how the fine arts can be formally understood as a consequence of the principle: given some subjective observer, great works of art and music yield observation histories exhibiting more novel, previously unknown compressibility/regularity/predictability (with respect to the observer's particular learning algorithm) than lesser works, thus deepening the observer's understanding of the world and what is possible in it."
10,hostile_prior_work,Dynamical Movement Primitives: Learning Attractor Models for Motor Behaviors,2012,Auke Jan Ijspeert; Jun Nakanishi; H. Hoffmann; Peter Pástor; Stefan Schaal,Neural Computation,10.1162/neco_a_00393,https://doi.org/10.1162/neco_a_00393,1574,robotics world models planning control,Attractor; Dynamical systems theory; Nonlinear system; Artificial intelligence; Computer science; Robotics; Limit cycle; Dynamical system (definition); Control theory (sociology); Mathematics; Model Reduction and Neural Networks; Reinforcement Learning in Robotics,Model robot-body/environment dynamics well enough for adaptive locomotion control.,reinforcement-learning objective around a learned model,reward feedback is the main signal for correcting model use,observability of repair-relevant state,"localized action failures, planner-induced counterexamples, and post-failure repair credit assignment",Weakens novelty of any generic online adaptation or residual model-repair framing.,"Whether repairs are selected by decision failures rather than global prediction fit, and whether repair locality is explicit.",16.0,"Directly competes with online model repair, learned dynamics, visual foresight, or planner-in-loop world models.","Nonlinear dynamical systems have been used in many disciplines to model complex behaviors, including biological motor control, robotics, perception, economics, traffic prediction, and neuroscience. While often the unexpected emergent behavior of nonlinear systems is the focus of investigations, it is of equal importance to create goal-directed behavior (e.g., stable locomotion from a system of coupled oscillators under perceptual guidance). Modeling goal-directed behavior with nonlinear systems is, however, rather difficult due to the parameter sensitivity of these systems, their complex phase transitions in response to subtle parameter changes, and the difficulty of analyzing and predicting their long-term behavior; intuition and time-consuming parameter tuning play a major role. This letter presents and reviews dynamical movement primitives, a line of research for modeling attractor behaviors of autonomous nonlinear dynamical systems with the help of statistical learning techniques. The essence of our approach is to start with a simple dynamical system, such as a set of linear differential equations, and transform those into a weakly nonlinear system with prescribed attractor dynamics by means of a learnable autonomous forcing term. Both point attractors and limit cycle attractors of almost arbitrary complexity can be generated. We explain the design principle of our approach and evaluate its properties in several example applications in motor control and robotics."
